Rank;Country
1;France
2;United States
3;Italy
4;Spain
5;China
6;Mexico
7;Turkey
8;Germany
9;United Kingdom
10;Thailand
11;Japan
12;Canada
13;Russia
14;Malaysia
15;Greece
16;Portugal
17;Austria
18;Australia
19;Netherlands
20;Switzerland
21;Singapore
22;South Korea
23;Hong Kong
24;Czech Republic
25;Poland
26;Sweden
27;Denmark
28;Egypt
29;Croatia
30;Norway
31;Indonesia
32;Ireland
33;Romania
34;Belgium
35;Vietnam
36;Philippines
37;Argentina
38;Finland
39;Peru
40;United Arab Emirates
41;Morocco
42;Israel
43;New Zealand
44;Colombia
45;Bulgaria
46;Saudi Arabia
47;Hungary
48;Tunisia
49;Dominican Republic
50;Qatar
51;Chile
52;Slovakia
53;Oman
54;Belarus
55;Kazakhstan
56;Latvia
57;Lithuania
58;Azerbaijan
59;Estonia
60;Uzbekistan
61;Lebanon
62;Georgia
63;Iceland
64;Jordan
65;North Macedonia
66;Bosnia and Herzegovina
67;Mauritius
68;Armenia
69;Myanmar
70;Panama
71;Costa Rica
72;Ghana
73;Senegal
74;Kyrgyzstan
75;Namibia
76;Zambia
77;Uganda
78;Togo
79;Syria
80;Madagascar
81;Mozambique
82;Botswana
83;Sudan
84;Gabon
85;Malawi
86;Burkina Faso
87;Guinea
88;Rwanda
89;Benin
90;Tanzania
91;Niger
92;Tajikistan
93;Haiti
94;Chad
95;Moldova
96;Eswatini
97;Timor-Leste
98;Brunei
99;Gambia
100;Sierra Leone
